ID,CSE1,CSE2,CSE3,CSE4,SECTION,AVG_MARK,Grade,Highest_Mark_Subject,Lowest_Mark_Subject,Highest_Mark,Lowest_Mark,MAX_AVG_MARK_SECTION
1,51,36,79,29,B,48.75,D,CSE3,CSE4,79,29,89.75
2,27,29,84,73,C,53.25,C,CSE3,CSE1,84,27,91.25
3,52,32,31,49,B,41.0,D,CSE1,CSE3,52,31,89.75
4,36,57,54,28,B,43.75,D,CSE2,CSE4,57,28,89.75
5,30,67,35,29,D,40.25,D,CSE2,CSE4,67,29,89.75
6,28,59,57,79,C,55.75,C,CSE4,CSE1,79,28,91.25
7,85,49,89,69,C,73.0,B,CSE3,CSE2,89,49,91.25
8,86,39,45,69,B,59.75,C,CSE1,CSE2,86,39,89.75
9,78,86,50,35,D,62.25,C,CSE2,CSE4,86,35,89.75
10,81,40,93,43,C,64.25,C,CSE3,CSE2,93,40,91.25
11,88,43,43,60,B,58.5,C,CSE1,CSE2,88,43,89.75
12,66,65,40,39,A,52.5,C,CSE1,CSE4,66,39,91.75
13,67,34,71,34,C,51.5,C,CSE3,CSE2,71,34,91.25
14,89,58,33,69,C,62.25,C,CSE1,CSE3,89,33,91.25
15,54,58,92,75,D,69.75,Invalid,CSE3,CSE1,92,54,89.75
16,48,50,30,90,B,54.5,C,CSE4,CSE3,90,30,89.75
17,46,33,66,34,A,44.75,D,CSE3,CSE2,66,33,91.75
18,27,67,91,93,D,69.5,Invalid,CSE4,CSE1,93,27,89.75
19,32,46,86,72,D,59.0,C,CSE3,CSE1,86,32,89.75
20,34,49,75,39,A,49.25,Invalid,CSE3,CSE1,75,34,91.75
21,46,56,32,83,C,54.25,C,CSE4,CSE3,83,32,91.25
22,35,85,59,60,D,59.75,C,CSE2,CSE1,85,35,89.75
23,63,49,48,79,D,59.75,C,CSE4,CSE3,79,48,89.75
24,28,61,30,36,B,38.75,D,CSE2,CSE1,61,28,89.75
25,33,76,89,83,A,70.25,B,CSE3,CSE1,89,33,91.75
26,78,82,54,94,B,77.0,B,CSE4,CSE3,94,54,89.75
27,82,73,83,26,C,66.0,C,CSE3,CSE4,83,26,91.25
28,40,81,33,26,B,45.0,D,CSE2,CSE4,81,26,89.75
29,77,58,55,70,B,65.0,C,CSE1,CSE3,77,55,89.75
30,28,53,36,61,A,44.5,D,CSE4,CSE1,61,28,91.75
31,88,35,94,53,D,67.5,C,CSE3,CSE2,94,35,89.75
32,62,61,69,74,D,66.5,C,CSE4,CSE2,74,61,89.75
33,92,78,89,53,B,78.0,B,CSE1,CSE4,92,53,89.75
34,81,47,30,79,A,59.25,C,CSE1,CSE3,81,30,91.75
35,62,36,92,68,A,64.5,C,CSE3,CSE2,92,36,91.75
36,80,40,31,34,D,46.25,D,CSE1,CSE3,80,31,89.75
37,65,73,66,82,A,71.5,B,CSE4,CSE1,82,65,91.75
38,87,39,80,47,A,63.25,C,CSE1,CSE2,87,39,91.75
39,34,68,44,71,A,54.25,C,CSE4,CSE1,71,34,91.75
40,70,32,31,86,B,54.75,C,CSE4,CSE3,86,31,89.75
41,68,84,82,43,C,69.25,Invalid,CSE2,CSE4,84,43,91.25
42,74,36,82,90,A,70.5,B,CSE4,CSE2,90,36,91.75
43,47,37,57,75,C,54.0,C,CSE4,CSE2,75,37,91.25
44,76,69,52,89,D,71.5,B,CSE4,CSE3,89,52,89.75
45,60,72,28,34,C,48.5,D,CSE2,CSE3,72,28,91.25
46,56,83,82,42,C,65.75,C,CSE2,CSE4,83,42,91.25
